AX,AY,AZ,_id,datetime,label
0.04102,0.99170,-0.12378,61c3a940345a642b49b402d7,2021/12/22 22:39:46:368,waschen
0.04346,0.99658,-0.11963,61c3a940345a642b49b402d8,2021/12/22 22:39:46:855,waschen
0.03906,1.00293,-0.12256,61c3a941345a642b49b402d9,2021/12/22 22:39:47:341,waschen
0.04785,0.99707,-0.12354,61c3a942345a642b49b402da,2021/12/22 22:39:47:828,waschen
0.04517,0.99316,-0.12109,61c3a942345a642b49b402db,2021/12/22 22:39:48:315,waschen
0.03638,0.99243,-0.12158,61c3a942345a642b49b402dc,2021/12/22 22:39:48:801,waschen
0.04150,0.99414,-0.12207,61c3a943345a642b49b402dd,2021/12/22 22:39:49:287,waschen
0.04810,1.00537,-0.11548,61c3a943345a642b49b402de,2021/12/22 22:39:49:775,waschen
0.04053,0.99463,-0.11670,61c3a944345a642b49b402df,2021/12/22 22:39:50:261,waschen
0.04443,0.99805,-0.12866,61c3a945345a642b49b402e0,2021/12/22 22:39:50:747,waschen
0.04297,0.99536,-0.12524,61c3a945345a642b49b402e1,2021/12/22 22:39:51:235,waschen
0.04297,1.00000,-0.11182,61c3a945345a642b49b402e2,2021/12/22 22:39:51:721,waschen
0.03882,1.00366,-0.10547,61c3a946345a642b49b402e3,2021/12/22 22:39:52:207,waschen
0.04175,0.99683,-0.12280,61c3a946345a642b49b402e4,2021/12/22 22:39:52:695,waschen
0.04663,1.00220,-0.13599,61c3a947345a642b49b402e5,2021/12/22 22:39:53:180,waschen
0.04712,0.99683,-0.13135,61c3a947345a642b49b402e6,2021/12/22 22:39:53:667,waschen
0.04370,1.00073,-0.12378,61c3a948345a642b49b402e7,2021/12/22 22:39:54:153,waschen
0.03687,0.99780,-0.13159,61c3a948345a642b49b402e8,2021/12/22 22:39:54:640,waschen
0.04346,0.99780,-0.11963,61c3a949345a642b49b402e9,2021/12/22 22:39:55:126,waschen
0.04028,0.99561,-0.11963,61c3a949345a642b49b402ea,2021/12/22 22:39:55:613,waschen
0.04028,0.99561,-0.11963,61c3a94a345a642b49b402eb,2021/12/22 22:39:56:100,waschen
0.04224,0.99731,-0.12109,61c3a94a345a642b49b402ec,2021/12/22 22:39:56:587,waschen
0.03931,0.99976,-0.12085,61c3a94b345a642b49b402ed,2021/12/22 22:39:57:72,waschen
0.04175,0.99829,-0.12061,61c3a94b345a642b49b402ee,2021/12/22 22:39:57:560,waschen
0.04175,0.99487,-0.11401,61c3a94c345a642b49b402ef,2021/12/22 22:39:58:45,waschen
0.04102,0.99780,-0.12158,61c3a94c345a642b49b402f0,2021/12/22 22:39:58:532,waschen
0.04248,1.00024,-0.12158,61c3a94d345a642b49b402f1,2021/12/22 22:39:59:18,waschen
0.04297,0.99512,-0.12231,61c3a94d345a642b49b402f2,2021/12/22 22:39:59:505,waschen
0.03809,0.99414,-0.12109,61c3a94e345a642b49b402f3,2021/12/22 22:39:59:990,waschen
0.04297,0.99805,-0.11743,61c3a94f345a642b49b402f4,2021/12/22 22:40:0:477,waschen
0.04028,0.99927,-0.12036,61c3a94f345a642b49b402f5,2021/12/22 22:40:0:963,waschen
0.03857,1.00317,-0.12329,61c3a94f345a642b49b402f6,2021/12/22 22:40:1:450,waschen
0.04614,0.99512,-0.11938,61c3a950345a642b49b402f7,2021/12/22 22:40:1:936,waschen
0.04053,0.99512,-0.11499,61c3a950345a642b49b402f8,2021/12/22 22:40:2:422,waschen
0.04541,0.99854,-0.11865,61c3a951345a642b49b402f9,2021/12/22 22:40:2:910,waschen
0.04224,0.99805,-0.10547,61c3a951345a642b49b402fa,2021/12/22 22:40:3:396,waschen
0.03809,1.00171,-0.10449,61c3a952345a642b49b402fb,2021/12/22 22:40:3:882,waschen
0.04004,1.00073,-0.09863,61c3a953345a642b49b402fc,2021/12/22 22:40:4:370,waschen
0.04126,1.00122,-0.11328,61c3a953345a642b49b402fd,2021/12/22 22:40:4:855,waschen
0.04663,1.00269,-0.10693,61c3a953345a642b49b402fe,2021/12/22 22:40:5:341,waschen
0.03003,1.00586,-0.12720,61c3a954345a642b49b402ff,2021/12/22 22:40:5:827,waschen
0.03857,0.99414,-0.11938,61c3a954345a642b49b40300,2021/12/22 22:40:6:313,waschen
0.05029,0.99780,-0.13379,61c3a955345a642b49b40301,2021/12/22 22:40:6:800,waschen
0.04102,0.99854,-0.12793,61c3a956345a642b49b40302,2021/12/22 22:40:7:286,waschen
0.03979,0.99829,-0.11157,61c3a956345a642b49b40303,2021/12/22 22:40:7:772,waschen
0.04883,0.99951,-0.11694,61c3a957345a642b49b40304,2021/12/22 22:40:8:258,waschen
0.04053,1.00220,-0.13037,61c3a957345a642b49b40305,2021/12/22 22:40:8:745,waschen
0.03662,0.99634,-0.13452,61c3a957345a642b49b40306,2021/12/22 22:40:9:231,waschen
0.05029,1.00000,-0.10596,61c3a9611b359d900738ff42,2021/12/22 22:40:18:761,waschen
0.03345,0.99390,-0.10229,61c3a9611b359d900738ff43,2021/12/22 22:40:19:247,waschen
0.03564,0.99927,-0.11890,61c3a9621b359d900738ff44,2021/12/22 22:40:19:735,waschen
0.03662,0.99634,-0.11133,61c3a9621b359d900738ff45,2021/12/22 22:40:20:220,waschen
0.03906,1.00513,-0.11401,61c3a9631b359d900738ff46,2021/12/22 22:40:20:706,waschen
0.03369,1.00195,-0.14478,61c3a9641b359d900738ff47,2021/12/22 22:40:21:192,waschen
0.04297,0.99707,-0.13159,61c3a9641b359d900738ff48,2021/12/22 22:40:21:680,waschen
0.04297,0.99780,-0.11011,61c3a9641b359d900738ff49,2021/12/22 22:40:22:165,waschen
0.04053,0.99805,-0.11279,61c3a9651b359d900738ff4a,2021/12/22 22:40:22:651,waschen
0.04492,0.98999,-0.11279,61c3a9661b359d900738ff4b,2021/12/22 22:40:23:138,waschen
0.03638,0.99805,-0.13623,61c3a9661b359d900738ff4c,2021/12/22 22:40:23:625,waschen
0.03857,0.99097,-0.12964,61c3a9661b359d900738ff4d,2021/12/22 22:40:24:111,waschen
0.04028,0.99658,-0.13037,61c3a9671b359d900738ff4e,2021/12/22 22:40:24:597,waschen
0.04004,1.00439,-0.13159,61c3a9681b359d900738ff4f,2021/12/22 22:40:25:83,waschen
