AX,AY,AZ,_id,datetime,label
0.04810,1.00171,-0.12695,61c45ec182ca226ea2f62a76,2021/12/23 11:34:24:446,waschen
0.05029,0.99927,-0.12769,61c45ec182ca226ea2f62a77,2021/12/23 11:34:24:945,waschen
0.04443,0.99390,-0.13672,61c45ec282ca226ea2f62a78,2021/12/23 11:34:25:445,waschen
0.05273,1.00146,-0.12402,61c45ec282ca226ea2f62a79,2021/12/23 11:34:25:942,waschen
0.05225,1.00366,-0.12891,61c45ec382ca226ea2f62a7a,2021/12/23 11:34:26:441,waschen
0.04565,0.99512,-0.12671,61c45ec382ca226ea2f62a7b,2021/12/23 11:34:26:940,waschen
0.04541,0.99878,-0.12158,61c45ec482ca226ea2f62a7c,2021/12/23 11:34:27:438,waschen
0.03760,0.99487,-0.12598,61c45ec482ca226ea2f62a7d,2021/12/23 11:34:27:937,waschen
0.04248,0.99512,-0.11792,61c45ec582ca226ea2f62a7e,2021/12/23 11:34:28:435,waschen
0.03979,1.00293,-0.12646,61c45ec582ca226ea2f62a7f,2021/12/23 11:34:28:937,waschen
0.03760,1.00024,-0.10693,61c45ec682ca226ea2f62a80,2021/12/23 11:34:29:435,waschen
0.03662,0.99683,-0.12061,61c45ec682ca226ea2f62a81,2021/12/23 11:34:29:933,waschen
0.04175,0.99780,-0.11694,61c45ec682ca226ea2f62a82,2021/12/23 11:34:30:432,waschen
0.04541,0.99829,-0.11987,61c45ec782ca226ea2f62a83,2021/12/23 11:34:30:931,waschen
0.03979,1.00488,-0.11768,61c45ec882ca226ea2f62a84,2021/12/23 11:34:31:430,waschen
0.04346,1.00244,-0.11157,61c45ec882ca226ea2f62a85,2021/12/23 11:34:31:930,waschen
0.03931,0.99268,-0.11597,61c45ec982ca226ea2f62a86,2021/12/23 11:34:32:428,waschen
0.04077,1.00024,-0.12207,61c45ec982ca226ea2f62a87,2021/12/23 11:34:32:927,waschen
0.04565,1.00269,-0.12256,61c45ed98a4ec5d31e2a8af8,2021/12/23 11:34:48:876,waschen
0.05737,1.00098,-0.12988,61c45eda8a4ec5d31e2a8af9,2021/12/23 11:34:49:376,waschen
0.04541,0.99780,-0.12427,61c45eda8a4ec5d31e2a8afa,2021/12/23 11:34:49:876,waschen
